name,image,Trivia,Quotes,Trademark,Nickname,Star Sign,Born,Height:,Awards,Died
Jaspal Bhatti,"https://m.media-amazon.com/images/M/MV5BZGQzZDgxNGMtZTdjYy00NzI3LThlOGItNjdmOTc5ZjQwYjcwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY128_CR7,0,86,128_AL_.jpg","Chandigarh, India","I've always been inspired by either cartoons or politicians, both are so alike.",,,Pisces,"Jaspal Singh Bhatti;March 3,      1955      ;Amritsar, Punjab, India",,,"October 25,      2012                                  (age 57)                    ;Shahkot, Punjab, India"
Johnny Lever,"https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_UX86_CR0,0,86,128_AL_.jpg",Is frequently used by director duo Abbas-Mustan.,,,,Leo,"Johnrao Prakashrao Janumala;August 14,      1957      ;Kanigiri, Andhra Pradesh, India","5'3""(1.6m)",4 wins & 23 nominations.,
Jaswinder Bhalla,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,,,,Chacha Chatar Singh,,,,,
Kamal Haasan,"https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY128_CR8,0,86,128_AL_.jpg","Starred in the shelved film ""Jigar"" (Mera Khoon)(1985).Starring Kamal Haasan, Vijeta Pandit ,Produced by Jayant Malkhan and Directed by I.V.Sasi.","I haven't got a degree. So, I've never stopped learning. When you get a degree, and wear that square hat with tassels on it, you think you've done it and you lean back. There is a certain amount of complacency that comes with achievement. What you ...","            He is fluent in Tamil, English, Telugu, Hindi, Malayalam, Bengali, Kannada and French.        ",Universal Hero,Scorpio,"November 7,      1954      ;Ramanathapuram, Madras State, India","5'5""(1.65m)",54 wins & 22 nominations.,
Kangana Ranaut,"https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY128_CR2,0,86,128_AL_.jpg","She is one of the seven actresses who has won National Award for Best Actress more than once. As of 2017, She has won for Queen(2014) and Tanu Weds Manu Returns(2015). The other six actresses are Shabana Azmi, Sharada, Smita Patil, Archana, Shobana ...","My biggest asset is that I know how to learn and that, I believe will help me in the long run.",,,Pisces,"Kangana Amardeep Ranaut;March 20,      1987      ;Bhambla, Himachal Pradesh, India","5'5¼""(1.66m)",27 wins & 25 nominations.,
Konkona Sen Sharma,"https://m.media-amazon.com/images/M/MV5BMTU1NjUxNDYwNV5BMl5BanBnXkFtZTgwOTU3MDM0OTE@._V1_UY128_CR1,0,86,128_AL_.jpg","Konkona's graduate degree was in English, from St. Stephen's College, Delhi in 2001. She was a student of the Modern High School for Girls, Calcutta, as well as the Calcutta International School.",,,,Sagittarius,"December 3,      1979      ;New Delhi, India",,12 wins & 15 nominations.,
Kader Khan,"https://m.media-amazon.com/images/M/MV5BNWYzY2QzNzUtYmVlYy00MmZjLTgxYjEtNjQyOWI5MzZkMDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg",Father of Sarfaraz Khan.,Roti was home production of Rajesh Khanna. It was Rajesh Khanna who happily paid me One Lake Twenty Five Thousand for writing dialogue in the film directed by Manmohan Desai. Rajesh Khanna continued to give me films wherein my voice could be used ...,,,Sagittarius,"December 11,      1937      ;Pishin, Balochistan, British India",,3 wins & 8 nominations.,"December 31,      2018                                  (age 81)                    ;Mississauga, Ontario, Canada"
Kay Kay Menon,"https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY128_CR53,0,86,128_AL_.jpg","Starred in the shelved movie I Dreams "" Jasmine""(2003). Starring Nagarjuna, Tabu, Kay Kay Menon and Boman Irani. Music and Directed by Sandeep Chowta.",,,,Libra,"Krishna Kumar Menon;October 2,      1966      ;Kerala, India","5'11""(1.8m)",2 wins & 10 nominations.,
Kajol,"https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY128_CR2,0,86,128_AL_.jpg",Cousin of actor Sujoy Mukherjee.,,            Her uni-brow        ,,Leo,"Kajol Mukherjee;August 5,      1974      ;Bombay, Maharashtra, India","5'1""(1.55m)",26 wins & 19 nominations.,
Kulbhushan Kharbanda,"https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY128_CR44,0,86,128_AL_.jpg","Starred in the shelved film Bhanot Arts ""Jurm Ke Khilaaf"" (1990). Starring Aatish Devgan,Amber Anand, Ishrat Ali,Mahesh Raj,Jagdish Raj, Sadashiv Amrapurkar, Kulbhishan Kharbanda,Goga Kapoor, Music by Anand Milind,Produced by Gautam, Directed by ...",,,,Libra,"October 21,      1944      ;Hasan Abdal, Punjab, British India",,1 win & 1 nomination.,
Kalki Koechlin,"https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX86_CR0,0,86,128_AL_.jpg","Canadian actress Kali Sudhra chose the screen name ""Kali"" as she is big fan of actress Kalki and Hindu goddess Kaali.",,,,Capricorn,"January 10,      1983      ;Pondicherry, India","5'4""(1.63m)",8 wins & 14 nominations.,
Kapil Sharma,"https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY128_CR53,0,86,128_AL_.jpg","Was to debut as an actor in Sanjay Kapoor's long delayed movie ""Its My Life"" (2008).Starring Nana Patekar, Harman Baweja, Genelia Dsouza, directed by Anees Bazmee. As of December 2015, the film is still unreleased.",,,,Aries,"April 2,      1981      ;Amritsar, Punjab, India","5'6""(1.68m)",14 wins & 6 nominations.,
Krishna Abhishek,"https://m.media-amazon.com/images/M/MV5BOWJmNDJkYjEtYmY5ZC00NmY5LTgyNTUtN2FjODQyZGZhNmIzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR6,0,86,128_AL_.jpg",Married to Kashmira Shah.,,,,,,"5'10""(1.78m)",2 wins & 2 nominations.,
Karuna Bannerjee,"https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY128_CR45,0,86,128_AL_.jpg",,,,,Capricorn,"December 25,      1919      ;Calcutta, Bengal Presidency, British India",,Nominated for1BAFTA Film Award.,"November 13,      2001                                  (age 81)                    ;Kolkata, West Bengal, India"
Kanwaljit Singh,"https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg","Starred in the shelved movie, Glory Film International's ""Mahal""(1998)Starring Ravi Kissen, Kashmira Shah,Kanwaljeet,Kiran Kumar,Deepak Shirke,Rajesh Bedi, Music by Vijay Kapoor Waris, Produced by Gloria Mandal, Directed by Ravi Ravan.",,,,,,"6'1½""(1.87m)",1 win.,
Lara Dutta,"https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY128_CR53,0,86,128_AL_.jpg",She was to debut in a B grade film based on AIDS. This was in the year 2000. The director was Shrikant Sinha. After shooting for two months he dropped her from the film because he thought she was a bad actress.,"About Priyanka Chopra: ""We've never claimed to be best friends. We've had our ups and downs, after all, we're competitors in the same field. But I'd hate to have an attitude towards her. I think Priyanka is very talented but I don't think we're up ...",,,Aries,"April 16,      1978      ;Ghaziabad, Uttar Pradesh, India","5'8""(1.73m)",4 wins & 3 nominations.,
Manjot Singh,"https://m.media-amazon.com/images/M/MV5BNWY2N2E4Y2EtOGI2NS00YjkxLTgwMDAtNGU4MTZjN2RiZjAwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR0,0,86,128_AL_.jpg",Brother of Bollywood actor Sehebjot Singh and son of Bollywood actor Paramjot Singh.,,,,,,,1 win.,
Manu Rishi Chadha,"https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UY128_CR70,0,86,128_AL_.jpg",Partner of assistant director Roli Chaturvedi.,,,,,,,3 wins.,
Mehmood,"https://m.media-amazon.com/images/M/MV5BMzI0OWZlOTQtNGJiNS00YzVhLWE1MGQtZGY3ZWUwYWJiOTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR8,0,86,128_AL_.jpg",Mehmood' s sister Hussaini Begum migrated to Pakistan and has passed away.,,,,Libra,"September 29,      1932      ;Bombay, Bombay Presidency, British India",,5 wins & 11 nominations.,"July 23,      2004                                  (age 71)                    ;Pennsylvania, USA"
Mukesh Tiwari,"https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_UY128_CR54,0,86,128_AL_.jpg",His dialogue is used in the Punjabi song Kharku Life by Aardee and Chani Nattan.,,,,Virgo,"August 24,      1969      ;Sagar, Madhya Pradesh, India",,3 nominations.,
Mammootty,"https://m.media-amazon.com/images/M/MV5BOTFjOGIwMmUtY2FlMS00ZWJlLThhOWItY2RmY2JmYTc0YTk5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX86_CR0,0,86,128_AL_.jpg",He received two honorary doctorates.,,,Sajin,Virgo,"P.I. Mohammed Kutty;September 7,      1951      ;Chandiroor, Travancore, India","5'10""(1.78m)",49 wins & 11 nominations.,
Makrand Deshpande,"https://m.media-amazon.com/images/M/MV5BNDcyOGU3ODctZjZiZi00OWY1LWEzYjktOTIxNTUwMTAyODMzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY128_CR0,0,86,128_AL_.jpg",Was engaged to Sonali Kulkarni.,,,,Cancer,"July 3,      1958      ;India",,1 win & 1 nomination.,
Madhavan,"https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY128_CR5,0,86,128_AL_.jpg","Director Sanjay Dayma narrated a script to Madhvan titled "" Vivaah"" in 2003. Sanjay had approached Hrithik for the other lead role in the film. The film was never made.",,,Maddy,Gemini,"Madhavan Ranganathan;June 1,      1970      ;Jamshedpur, Bihar, India","5'8""(1.73m)",9 wins & 12 nominations.,
Mohanlal,"https://m.media-amazon.com/images/M/MV5BYjFjZGRjMWYtZTA5MS00OTZkLWI1MjctNDQ2NmQzMWM1NzRhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY128_CR0,0,86,128_AL_.jpg","Reader's Digest India described him in 2004 as ""cinema's jack of all trades and master of many"".",,,The Complete Actor,Gemini,"May 21,      1960      ;Pathanamthitta, Kerala, India","5'7¾""(1.72m)",33 wins & 10 nominations.,
Mita Vasisht,"https://m.media-amazon.com/images/M/MV5BNGQ4YjkyMzMtM2E4OS00YmMzLWEyY2YtYjY0ZmUzYmEzNzFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR8,0,86,128_AL_.jpg",Was engaged to actor Mangal Dhillon in the late 80's.,,,,Scorpio,"November 2,      1967      ;Pune, Maharashtra, India",,2 wins.,
Manoj Bajpayee,"https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg",Turn down the lead role in Water when it was to be made in the early 2000's.,,            Often plays man of rural background with strong moral values        ,,Taurus,"April 23,      1969      ;Belwa, Bihar, India","5'7""(1.7m)",14 wins & 21 nominations.,
Manoj Joshi,"https://m.media-amazon.com/images/M/MV5BMDdmMDUzMGUtNjBiYy00ZDdiLTlhZWItYmE3MjNjNGViM2U0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR1,0,86,128_AL_.jpg",Brother of actor Rajesh Joshi who passed away in a accident in 1998.,,,,,,,3 wins & 1 nomination.,
Madhuri Dixit,"https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY128_CR20,0,86,128_AL_.jpg","Starred in the shelved film "" Jagajjanani"". She was to play Santoshi Maa.Aishwarya was first offered the lead role but declined. The film was going to be dubbed in all Indian languages. Tabu was playing the role of Maydevi. This was in 2001.","I hope I'm not sounding presumptuous or vain. but I think like Sridevi, I was another heroine who could break the barriers between the classes and the masses",,Mohini,Taurus,"Madhuri Shankar Dixit;May 15,      1967      ;Bombay, Maharashtra, India","5'2½""(1.58m)",15 wins & 21 nominations.,
Mohnish Bahl,"https://m.media-amazon.com/images/M/MV5BZWRlMmFiZWUtYWY3Ni00NDkwLWFlZmQtOWE2NjI2MDUzYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg",Was engaged to Kimi Katkar.,,,,Aquarius,"February 14,      1963      ;Bombay, Maharashtra, India","5'8""(1.73m)",4 wins & 6 nominations.,
Mithun Chakraborty,"https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY128_CR4,0,86,128_AL_.jpg","Went for a world tour concert with Jaya Pradha, Mandakini, Gulshan Grover and Bappi Lahiri. This was in May 1989. They went to cities in Canada, America and England.",,,Mithunda,Gemini,"Gouranga Chakraborti;June 16,      1947      ;Barisal, Bengal Presidency, British India","5'9""(1.75m)",9 wins & 9 nominations.,
Mukesh Khanna,"https://m.media-amazon.com/images/M/MV5BMTYwNTk2MTk4MF5BMl5BanBnXkFtZTgwODQ1ODA0OTE@._V1_UY128_CR55,0,86,128_AL_.jpg","Starred in the shelved film Aakruti Arts International's ""Ranjish""(1984). Starring Nutan,Mukesh Khanna, Trishna,Kader Khan, Music by. Rajesh Roshan, Directed by S.U.Syed.",,,,Cancer,"July 19,      1958      ;Bombay, State of Bombay, India",,1 nomination.,
Mukul Dev,"https://m.media-amazon.com/images/M/MV5BODhjYmUzZTctNWY3Yy00ZDBmLTk0NzEtMzg3YzlhYzA0NGI2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg","Was to debut in GP Sippy' s Khafa, directed by Anant Balani. Co Starring Milind Soman, Sonali Bendre, Persis Khambhatta, Kader Khan. This was in 1995.",,,,Sagittarius,"November 30,      1970      ;Delhi, India","5'7¾""(1.72m)",1 win & 1 nomination.,
Madhubala,"https://m.media-amazon.com/images/M/MV5BMTI4MTAzMzc2MV5BMl5BanBnXkFtZTcwMDkyNDAzMQ@@._V1_UY128_CR6,0,86,128_AL_.jpg",Daughter of Attaullah Khan.,,,Venus Queen,Aquarius,"Begum Mumtaz Jehan Dehlavi;February 14,      1933      ;Delhi, British India","5'4""(1.63m)",1 nomination.,"February 23,      1969                                  (age 36)                    ;Bombay, Maharashtra, India"
Meena Kumari,"https://m.media-amazon.com/images/M/MV5BMTM2NjQ1Nzg2N15BMl5BanBnXkFtZTcwNDkyNjAzMQ@@._V1_UY128_CR1,0,86,128_AL_.jpg",Mehmood Taught table tennis to Meena Kumari.,,,Manju,Leo,"Begum Mahjabeen Bux;August 1,      1933      ;Bombay, Bombay Presidency, India","5'3""(1.6m)",4 wins & 6 nominations.,"March 31,      1972                                  (age 38)                    ;Bombay, Maharashtra, India"
Mala Sinha,"https://m.media-amazon.com/images/M/MV5BMWUyNzlkMDEtMGY4My00M2QwLWEzYjktMzk1YjliNDhiYzc5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR3,0,86,128_AL_.jpg",Mother of Pratibha Sinha,,,,Scorpio,"Alda Sinha;November 11,      1936      ;Calcutta, Bengal Presidency, British India","5'2""(1.57m)",2 wins & 4 nominations.,
Manoj Pahwa,"https://m.media-amazon.com/images/M/MV5BMDM4MTY3YzAtYmJlMC00YjdjLTg4YzgtZTJiMzI5NzJjODg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg",Wife name is Seema Bhargav Pahwa and daughter name is Manukriti.,,,,,,,5 nominations.,
Manoj Kumar,"https://m.media-amazon.com/images/M/MV5BMzUxNTM4MzQ4N15BMl5BanBnXkFtZTgwMjY1ODA0OTE@._V1_UY128_CR21,0,86,128_AL_.jpg",Durng his struggling days he was offered rupees 500 per month from Filmistan Studios. They would sign him as a in house leading man. Manoj refused as they made Punjabi and stunt films. Manoj wanted to become a A grade star in Hindi films.,,,Bharat Kumar,Leo,"Harikishen Giri Goswami;July 24,      1937      ;Abbottabad, North-West Frontier Province, British India","6'1""(1.85m)",8 wins & 6 nominations.,
Nassar,"https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_UY128_CR53,0,86,128_AL_.jpg",Changed his name from Muhammed Hanif to Nasser after his idol Egyptian President Gamal Abdel Nasser.,,,,Pisces,"Muhammad Hanif;March 5,      1958      ;Chengalpattu, Madras State, India","5'5""(1.65m)",2 wins & 4 nominations.,
Naseeruddin Shah,"https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY128_CR7,0,86,128_AL_.jpg","Starred in the shelved film ""Bandhua"" (1989) Starring Amitabh Bachchan, Madhuri Dixit, Waheeda Rehman, Naseeruddin Shah,Pooja Bedi ( replaced Shilpa Shirodkar), Produced and Directed by J.P. Dutta.",(2003): I don't enjoy seeing Hindi films.,,,Cancer,"July 20,      1950      ;Barabanki, Uttar Pradesh, India","5'10""(1.78m)",14 wins & 27 nominations.,
Nandita Das,"https://m.media-amazon.com/images/M/MV5BMTA2NzUwMTAxMDBeQTJeQWpwZ15BbWU4MDQ0MTEyNTEx._V1_UY128_CR0,0,86,128_AL_.jpg","She taught at the Rishi Valley School (started by J. Krishnamurti). After she did her Master's in Social Work (MSW), she started working with an NGO called Ankur and then for Alarippu, a children's organisation which is about making education more ...",,,,Scorpio,"November 7,      1969      ;Delhi, India",,12 wins & 13 nominations.,
Nagarjuna Akkineni,"https://m.media-amazon.com/images/M/MV5BMDE5ZTgzN2QtODQzMi00NzYxLWI3ZmMtMzAxNWM0OGM1YjM0XkEyXkFqcGdeQXVyNzc4NzEwNTc@._V1_UY128_CR50,0,86,128_AL_.jpg","He attended the Hyderabad Public School and studied his ""Intermediate"" from Little Flower Junior College and B.E. (Mechanical) from the College of Engineering, Guindy, Chennai. He completed M.S. in Automobile Engineering from Eastern Michigan ...",,,Nag,Virgo,"Akkineni Nagarjuna Rao;August 29,      1959      ;Madras, Madras State, India","5'10""(1.78m)",8 wins & 14 nominations.,
Nana Patekar,"https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_UY128_CR53,0,86,128_AL_.jpg","Starred in the shelved movie Dhaneshwar Productions ""Haqdaar""(1989). Starring Asha Parekh,Shatrughan Sinha, Mandakini, Suresh Oberoi,Nana Patekar, Girish Karnad,Music by Ravindra Jain, Directed by Subhash Bhakri.","Describing the creative process for an artist Patekar says, ""Let everything affect you. Let it pierce your heart, and let stay there for a while. Then it rise to your mind and then let those thoughts and emotions, as if marinate, and then EXPRESS it!",,Nana,Capricorn,"Vishwanath Patekar;January 1,      1951      ;Murud-Janjira, State of Bombay, India","5'7""(1.7m)",14 wins & 16 nominations.,
Nawazuddin Siddiqui,"https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX86_CR0,0,86,128_AL_.jpg","His father Nawabuddin Siddiqui (76), who was paralyzed for a few years, passed away due to brain hemorrhage.",,,,Taurus,"May 19,      1974      ;Budhana, Muzaffarnagar, Uttar Pradesh, India","5'2""(1.58m)",20 wins & 19 nominations.,
Nargis,"https://m.media-amazon.com/images/M/MV5BMTY1NzE0ODkzNl5BMl5BanBnXkFtZTcwMDQ2OTAzMQ@@._V1_UY128_CR3,0,86,128_AL_.jpg",Mother of Sanjay Dutt.,,            White Sari        ,Baby Nargis,Gemini,"Fatima A. Rashid;June 1,      1929      ;Calcutta, Bengal Presidency, British India",,4 wins & 1 nomination.,"May 3,      1981                                  (age 51)                    ;Bombay, Maharashtra, India"
Nirupa Roy,"https://m.media-amazon.com/images/M/MV5BNGYxMTdjY2MtMDkzYS00ZGJlLTljZTgtYjlhZGVhYTNhMTE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR4,0,86,128_AL_.jpg","Former daughter in law Una Roy, an NRI who worked for Cathy Pacific for 11 years before resigning in 1998, had registered a case of dowry harassment against Nirupa .",,,,Capricorn,"Kokila Kishorechandra Balsara;January 4,      1931      ;Valsad, Bombay Presidency, British India","5'3""(1.6m)",4 wins & 1 nomination.,"October 13,      2004                                  (age 73)                    ;Mumbai, Maharashtra, India"
Nutan,"https://m.media-amazon.com/images/M/MV5BMTM0MDI4NDIzOV5BMl5BanBnXkFtZTcwNDY1NTAzMQ@@._V1_UY128_CR4,0,86,128_AL_.jpg",Sister of Indian actress Tanuja. Maternal aunt of actresses Kajol and Tanishaa Mukerji.,,,,Gemini,"Nutan Samarth;June 4,      1936      ;Bombay, Bombay Presidency, British India","5'4""(1.63m)",6 wins & 5 nominations.,"February 21,      1991                                  (age 54)                    ;India"
Neeraj Kabi,"https://m.media-amazon.com/images/M/MV5BZTJlZWZiMmUtNTQ0MS00NzliLWI3YjAtNzhiNjVhNWQ2MDExXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR0,0,86,128_AL_.jpg",,,,,,,,1 win.,
Navin Nischol,"https://m.media-amazon.com/images/M/MV5BNzY5NWIxMDItMzZkNi00YzNiLTkyMWQtZDJlNzEwODA2MDNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR3,0,86,128_AL_.jpg","Starred in the shelved film Mas Irani Productions ""Chahe Mita Do"" (1989). Starring Navin Nischol, Dilip Dhawan, Bharat Kapoor. Music by Uday Mazumdar.",,,,Pisces,"March 18,      1946      ;Lahore, Punjab, British India",,,"March 19,      2011                                  (age 65)                    ;Mumbai, Maharashtra, India"
Nafisa Ali,"https://m.media-amazon.com/images/M/MV5BNDBkYTI0OWMtNmMzOC00MDc5LTgwNGEtZTQ1MGQ2MWViNjAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR21,0,86,128_AL_.jpg","In 1999,Tinnu Anand wanted to make a film with Nafisa Ali's 11 year old daughter Zia and Amitabh Bachchan .It was an emotional story about a child befriending a convict. All plans were dropped.",,,,,,"5'6""(1.68m)",,
Om Puri,"https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_UY128_CR3,0,86,128_AL_.jpg","Starred in the shelved film The Legend of Santa Banta (2011) Starring Gurpreet Guggi,Gurleen Chopra,UpasanaSingh,Asrani,Jagdeep,Rana Jung Bahadur,Mukesh Rishi,Sunil Grover,Om Puri,Jaswinder Bhalla,DirectorDeepak Grewal,ProducerDeepak Grewal.",Amitabh Bachchan is a great actor and I am thankful that he refused Ardh Satya,,,Libra,"October 18,      1950      ;Ambala, Punjab, India","5'7""(1.7m)",Nominated for1BAFTA Film Award.,"January 6,      2017                                  (age 66)                    ;Andheri, Mumbai, Maharashtra, India"
Om Prakash,"https://m.media-amazon.com/images/M/MV5BMWE3OTM3ODMtZGIzZC00YjU3LWIyZmItOGYxNDA3Mzg4NTk3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR8,0,86,128_AL_.jpg","Brother of director , actor Pachchi. (International Crook).",,,,Sagittarius,"Om Prakash Bakshi;December 19,      1919      ;Lahore, Punjab, British India [now Pakistan]",,1 win & 1 nomination.,"February 12,      1998                                  (age 78)                    ;Mumbai, Maharashtra, India"
Pankaj Tripathi,"https://m.media-amazon.com/images/M/MV5BNjdlYjllOGMtYzU1OC00ODZjLWEzOGEtMGViOTYyYjU3YmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR1,0,86,128_AL_.jpg",An NSD graduate.Had failed twice entrance test but got in the third attempt.,,,,,,"5'7½""(1.71m)",3 wins & 6 nominations.,
Pran,"https://m.media-amazon.com/images/M/MV5BMTQ1MDc2Mjc2OF5BMl5BanBnXkFtZTcwMTc1MDU4OQ@@._V1_UY128_CR4,0,86,128_AL_.jpg","Though he was already very popular in 1940-1945 , he had to establish himself again after partition. So he struggled from 1948-1950.",,,,Aquarius,"Pran Kewal Sikand;February 12,      1920      ;Delhi, British India","5'7""(1.7m)",5 wins & 7 nominations.,"July 12,      2013                                  (age 93)                    ;Mumbai, Maharashtra, India"
Paresh Rawal,"https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_UY128_CR54,0,86,128_AL_.jpg","Starred in the shelved film H.R. Productions NEHLA-DEHLA (1990) Starring Mohsin Khan, Ektaa, Paresh Rawal, Akbar Sami, Music by Rajesh Roshan,Producer Haider Chaudhary ,Producer Roop Razdan, Director Ajit Kumar.",,,,Gemini,"May 30,      1950      ;Bombay, State of Bombay, India","5'8""(1.73m)",17 wins & 28 nominations.,
Priyanka Chopra,"https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY128_CR42,0,86,128_AL_.jpg","In 2006, a toy company in England created a fashion doll based on Priyanka Chopra's name and image. It was part of the ""Bollywood Legend"" series which also included stars Hrithik Roshani, Shah Rukh Khan, and Kajol. The dolls are now considered rare ...",I'm lucky. I don't know whether I'm deserving or not. All I know is that I work damn hard for everything. And God helps those who help themselves. Every day is like an exam. I believe destiny and hard work go hand in hand. I was studying to be an ...,            Full lips        ,Pri,Cancer,"July 18,      1982      ;Jamshedpur, Bihar, India","5'5""(1.65m)",59 wins & 38 nominations.,
Prakash Raj,"https://m.media-amazon.com/images/M/MV5BMjQ2MjA4NjU0MF5BMl5BanBnXkFtZTgwMTgwMDMzOTE@._V1_UX86_CR0,0,86,128_AL_.jpg",Ex wife actress Lalita Kumari is the sister of actress Disco Shanti.,,,,Aries,"Prakash Rai;March 26,      1965      ;Bangalore, Mysore State, India","5'7½""(1.71m)",18 wins & 20 nominations.,
Prabhas,"https://m.media-amazon.com/images/M/MV5BMjliZmI3YmMtYWU1NS00MjVlLTkxZTQtYjIzYzFkNWNjOTZkXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX86_CR0,0,86,128_AL_.jpg",Son of film producer Suryanarayana Raju U..,,            Height        ,Darling,Scorpio,"Prabhas Raju Uppalapati;October 23,      1979      ;Madras, Tamil Nadu, India",6'(1.83m),3 wins & 12 nominations.,
